CRN,COLLISION_TYPE,COUNTY,IMPACT_POINT_NAME,FULL_VIN,Make,Model,ModelYear
2022005296,Rear-end,Philadelphia,rear bumper,1HGCT1B34GAA00000,HONDA,Accord,2016
2022005296,Rear-end,Philadelphia,rear bumper,1HGCT1B34GAA00000,FORD,Fusion,2017
2022005296,Rear-end,Philadelphia,rear bumper,3FA6P0H71HRA00000,HONDA,Accord,2016
2022005296,Rear-end,Philadelphia,rear bumper,3FA6P0H71HRA00000,FORD,Fusion,2017
2022005306,Rear-end,Montgomery,rear bumper,1GKS2HKC8FRA00000,GMC,Yukon XL,2015
2022005328,Rear-end,Montgomery,front bumper/headlight,SALWR2FE8HAA00000,LAND ROVER,Range Rover Sport,2017
2022005397,Sideswipe (same dir.),Philadelphia,rear bumper/tail light,3N1AB8CV9LYA00000,NISSAN,Sentra,2020
2022005415,Sideswipe (same dir.),Philadelphia,rear bumper,1N4AA5APXCCA00000,NISSAN,Maxima,2012
2022005564,Angle,Delaware,front bumper/headlight,2GNALBEK9C1A00000,CHEVROLET,Equinox,2012
2022005564,Angle,Delaware,front bumper/headlight,2GNALBEK9C1A00000,TOYOTA,Highlander,2017
2022005564,Angle,Delaware,rear bumper/tail light,5TDJZRFH9HSA00000,CHEVROLET,Equinox,2012
2022005564,Angle,Delaware,rear bumper/tail light,5TDJZRFH9HSA00000,TOYOTA,Highlander,2017
2022005618,Rear-end,Philadelphia,rear bumper,2HGFB2F9XFHA00000,HONDA,Civic,2015
2022005656,Sideswipe (same dir.),Delaware,front quarter panel/side mirror,4T1F11AK9LUA00000,TOYOTA,Camry,2020
2022005663,Angle,Delaware,front bumper,2CNFLDEY5A6A00000,CHEVROLET,Equinox,2010
2022005666,Rear-end,Delaware,rear bumper,5NPD74LF9KHA00000,HYUNDAI,Elantra,2019
2022005686,Hit fixed object,Delaware,front bumper/headlight,3C4NJDBB5JTA00000,JEEP,Compass,2018
2022005688,Head-on,Chester,front quarter panel/side mirror,1GNSKHKC8LRA00000,CHEVROLET,Suburban,2020
2022005699,Rear-end,Delaware,rear bumper/tail light,5NPE24AF8KHA00000,HYUNDAI,Sonata,2019
2022005796,Rear-end,Montgomery,rear bumper,4T1BF1FK0CUA00000,TOYOTA,Camry,2012
2022005808,Sideswipe (same dir.),Delaware,front quarter panel/side mirror,KM8K5CA37NUA00000,HYUNDAI,Kona,2022
2022005837,Rear-end,Montgomery,rear bumper/tail light,5TDJRKEC3MSA00000,TOYOTA,Sienna,2021
2022005848,Sideswipe (same dir.),Chester,front bumper/headlight,JF2GPABC0G8A00000,SUBARU,Crosstrek,2016
2022005855,Angle,Delaware,front quarter panel/side mirror,KMHCT4AE0EUA00000,HYUNDAI,Accent,2014
2022005990,Rear-end,Philadelphia,rear bumper,5NPD84LF8HHA00000,HYUNDAI,Elantra,2017
2022006040,Sideswipe (Opposite dir.),Montgomery,rear bumper/tail light,2T1BURHE0FCA00000,TOYOTA,Corolla,2015
2022006058,Angle,Montgomery,front bumper/headlight,JN8AS5MV6BWA00000,NISSAN,Rogue,2011
2022006406,Angle,Chester,front bumper/headlight,2C4RDGEG9JRA00000,DODGE,Grand Caravan,2018
2022006468,Angle,Delaware,rear bumper/tail light,1N4AL3AP4FCA00000,NISSAN,Altima,2015
2022006676,Sideswipe (same dir.),Philadelphia,front bumper/headlight,2C3CDXGJ1KHA00000,DODGE,Charger,2019
2022006778,Rear-end,Philadelphia,rear bumper,1HGCR2F88DAA00000,HONDA,Accord,2013
2022006801,Angle,Montgomery,front bumper/headlight,5NPD84LFXJHA00000,HYUNDAI,Elantra,2018
2022006801,Angle,Montgomery,front bumper/headlight,5NPD84LFXJHA00000,KIA,Optima,2017
2022006801,Angle,Montgomery,rear bumper/tail light,5XXGU4L3XHGA00000,HYUNDAI,Elantra,2018
2022006801,Angle,Montgomery,rear bumper/tail light,5XXGU4L3XHGA00000,KIA,Optima,2017
2022006959,Angle,Montgomery,front bumper/headlight,5NPD84LF3HHA00000,HYUNDAI,Elantra,2017
2022006993,Rear-end,Chester,rear bumper/tail light,KNAFK4A61F5A00000,KIA,Forte,2015
